epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.29,1.54546,3.96398,1.10649,0.21349,0.5025,0.25326,0.14847,1.40562,2.17864,1.02914,5.96217e-05,5.96217e-05,5.96217e-05
2,835.842,1.33249,2.29148,1.03601,0.71586,0.81438,0.83365,0.55115,1.237,1.14196,0.98926,0.000115352,0.000115352,0.000115352
3,1249.74,1.29916,1.58813,1.03234,0.92523,0.94167,0.98019,0.68678,1.10582,0.75561,0.96645,0.000167144,0.000167144,0.000167144
4,1664.83,1.26396,1.23151,1.02853,0.97353,0.98192,0.99249,0.72714,1.01532,0.6131,0.94182,0.000161279,0.000161279,0.000161279
5,2077.65,1.23857,1.03166,1.02557,0.98784,0.99047,0.99459,0.72094,1.04895,0.55038,0.95722,0.000155372,0.000155372,0.000155372
6,2487.76,1.22468,0.92386,1.02594,0.99412,0.99569,0.99463,0.74346,0.97736,0.50655,0.93577,0.000149465,0.000149465,0.000149465
7,2896.46,1.21,0.85119,1.02299,0.99399,0.99732,0.99489,0.75781,0.93661,0.47687,0.93211,0.000143558,0.000143558,0.000143558
8,3296.5,1.20284,0.8006,1.02369,0.9957,0.99835,0.99485,0.75455,0.94576,0.45578,0.93446,0.000137651,0.000137651,0.000137651
9,3694.35,1.19362,0.76233,1.01943,0.99728,0.99739,0.99498,0.74552,0.98603,0.44567,0.94761,0.000131744,0.000131744,0.000131744
10,4098.84,1.18637,0.73297,1.01968,0.99742,0.99819,0.99488,0.76174,0.93626,0.42713,0.93249,0.000125837,0.000125837,0.000125837
11,4507.75,1.17841,0.70731,1.01751,0.99766,0.99843,0.99484,0.75017,0.97705,0.42517,0.94094,0.00011993,0.00011993,0.00011993
12,4911.7,1.17424,0.68898,1.02074,0.99779,0.99895,0.99493,0.77224,0.89763,0.40662,0.92011,0.000114023,0.000114023,0.000114023
13,5319.54,1.16847,0.67105,1.0166,0.99839,0.9987,0.995,0.77355,0.90664,0.39991,0.92264,0.000108116,0.000108116,0.000108116
14,5723.9,1.16185,0.65489,1.01573,0.99881,0.99902,0.995,0.78183,0.87264,0.3896,0.91388,0.000102209,0.000102209,0.000102209
15,6127.25,1.15699,0.64496,1.01592,0.9985,0.99914,0.99499,0.78696,0.86002,0.38541,0.90887,9.6302e-05,9.6302e-05,9.6302e-05
16,6531.07,1.1541,0.63577,1.0129,0.99855,0.99894,0.99496,0.78382,0.87038,0.37942,0.91282,9.0395e-05,9.0395e-05,9.0395e-05
17,6935.8,1.14494,0.62188,1.01022,0.99848,0.99916,0.99494,0.78647,0.86971,0.3759,0.91177,8.4488e-05,8.4488e-05,8.4488e-05
18,7340.87,1.13996,0.61272,1.00806,0.99859,0.99922,0.995,0.79587,0.83354,0.36773,0.90227,7.8581e-05,7.8581e-05,7.8581e-05
19,7740.79,1.13462,0.60474,1.00665,0.99885,0.99894,0.99498,0.80133,0.81132,0.36318,0.89591,7.2674e-05,7.2674e-05,7.2674e-05
20,8135.84,1.13469,0.5971,1.00783,0.99866,0.99923,0.99499,0.79778,0.83129,0.36105,0.90199,6.6767e-05,6.6767e-05,6.6767e-05
21,8515.77,1.13292,0.49262,1.05954,0.99886,0.99942,0.995,0.80694,0.79825,0.3609,0.89649,6.086e-05,6.086e-05,6.086e-05
22,8886.39,1.12333,0.47928,1.05636,0.99873,0.99924,0.995,0.81183,0.78838,0.35424,0.89253,5.4953e-05,5.4953e-05,5.4953e-05
23,9262.15,1.11955,0.47428,1.05576,0.99881,0.99937,0.99497,0.80765,0.80085,0.35548,0.89315,4.9046e-05,4.9046e-05,4.9046e-05
24,9638.45,1.11581,0.46793,1.0543,0.99894,0.99946,0.99499,0.82113,0.75798,0.34565,0.88475,4.3139e-05,4.3139e-05,4.3139e-05
25,10011.1,1.11125,0.46401,1.05174,0.99916,0.99941,0.995,0.81703,0.77069,0.3476,0.88558,3.7232e-05,3.7232e-05,3.7232e-05
26,10382,1.10652,0.45855,1.05114,0.99908,0.99951,0.995,0.82087,0.75579,0.3447,0.8815,3.1325e-05,3.1325e-05,3.1325e-05
27,10758.3,1.10614,0.45492,1.0511,0.99901,0.99956,0.995,0.81824,0.77115,0.34473,0.88441,2.5418e-05,2.5418e-05,2.5418e-05
28,11132.6,1.09861,0.44936,1.04664,0.99897,0.99951,0.995,0.81774,0.77249,0.34402,0.88387,1.9511e-05,1.9511e-05,1.9511e-05
29,11508.9,1.09613,0.44847,1.04518,0.99903,0.99945,0.995,0.81817,0.7696,0.343,0.88269,1.3604e-05,1.3604e-05,1.3604e-05
30,11887.7,1.0964,0.44499,1.04628,0.99897,0.99941,0.995,0.81898,0.76763,0.34164,0.88251,7.697e-06,7.697e-06,7.697e-06
